input,predicted_label
I helped him to correct them .,1
It is so cool since it is not a fan for CPU but an ordinary table fan .,0
Somebody towed my car .,1
"Though I have one more free day at the weekend , I waste it .",1
Today I had a leisurely day .,1
"Though the CPA test is said to be one of the three most difficult exams in Japan , I think anyone can pass it if they study hard .",1
"Whatever he says , he adds ' Can I ' at the beginning of the sentence .",1
He told me that there was a fantastic event in that jail .,1
"I am hoping that by paying a subscription fee , I can help this website to persist and , hopefully , grow .",1
I just went to school to take classes .,1
"Thanks , but no thanks .",1
I think I have to work harder .,1
Thank you for your correction !,1
I made a nabe for my kids today because my wife got a cold and she is lying in bed still .,1
"By the way , I am worried about my English .",1
People have a custom to clean their houses in Japan .,0
"I agreed with it , because I was a victim .",1
JFK museum,0
"Oneday , I was hanging out with my femael friend , They",0
It is one of the most controversial issue in the world .,0
I was very lucky to be able to contact my family right after the quake and make sure that they are fine .,1
"Some were practicing singing , ",1
"On new years eve , I went to the count down party at the club with my friends .",1
From Nick in Iwate,0
"Opponents of cellular phones being banned on their arguments on three main issues individual learning , good - quality lectures and dealing with disasters .",1
"I was surprised at this word at first , because I think this kind of status is important only in Asian culture . ",1
He was jealous of Chuck .,1
"About me , I started from level two .",0
"For example , what kind of bread do you want to bake or do you want to get vegetables .",1
So my family and I visited our family is grave on September .,0
I get motivation a little .,1
"In addition , I also have learned Japanese just for one year .",1
Excuse me .,1
Event announcement,1
And you ?,1
"Besides , the university student must study !",1
When did you meet him and where ?,1
Let me love someone ! !,1
Actually it was my mother - in - law is birthday .,1
I want to be with my family more ! !,1
"So , I am writing now .",1
"However , I think he must be given the death penalty .",1
Now I am preparing for the BEC test on May st .,1
"A few days before the semester started , I paid for the insurance twice by mistake .",1
"I think German is like Spanish , it has like tenses and a complex grammar .",1
And I have searched for information about where to stay there .,1
"However , thinking is always easier than doing .",1
She did nt like it .,1
The man who can do it is only me .,1
"If you are OK , please check ! ",1
I gave them food and drink .,0
I do not have a experience of Photographer before,0
"The red rabbit is Kirenenko , who is the leader of the Mafia , and he really likes collecting shoes .",1
"Last week , Microsoft launched its new digital controller , Kinect , which was designed to compete against the Wii and Sony is Move , at E .",1
"In these ways , we contribute to miscommunication between each other because of a difference between high context culture and low context culture .",0
I get new philosophy there sometimes .,0
Thank you .,1
The Powers That Be know all this and are keeping this knowledge to themselves .,1
"Today , I cooked tomato stew of comminuted meat , zucchini and asparagus .",0
"But , so it is very fun .",0
"some shopkeepers said we do not need any more , but the notices are still pasted on the front door .",1
It is as a JPEG - Dekrompression .,0
"I know I am thinking too logically , but it sometimes gives me a new perspective , after all .",1
So we often talk that the season in Filipino is better than mine .,0
I really do not want to go to school .,1
So I was said you are not cooperative .,0
"I am going to enjoy today , let is go .",1
So I ate lunch with a lot of vegetables ! !,1
So it was cancelled .,1
Am I selfish ?,1
"but my knowledge , what should I do ?",1
My height is cm .,1
"It , s activity is Monday , Thursday and Saturday !",1
"I get up early , running , having breakfast , spending the whole day at home , and then go to sleep .",1
"I went to KFC alone once again a few days ago , without specific aims .",1
There is the hole in the ceiling .,1
"For example , an advertising of a new created toy or drawing book can make child curious about these new things and therefore the child will try to find out what is that and what is it for .",1
HOW toENT a HOUSE in JAPAN,0
"its not that I do nt like this job , its just that I want to find vocation , lol ",0
Step to the future .,1
"Recently , it is getting cool so I feel autumn .",1
The most hated gadget for the British people .,1
That taste really depends on the restaurant .,1
See you next time,1
But the bath powders are your best friends when you take a bath ! ! !,1
"When I got home , my wife had gotten indisposed for hours .",1
Please connect with me ! !,1
But I will try hard !,1
Nice to meet you .,1
That is an absolutely fantastic accolade . I have never seen before .,1
On wendnesday was sad .,0
"When I was an elementary school student , I wanted to be a bookseller or an illustrator .",1
"I want to improve my English ability , and I also want to improve my TOEIC score .",1
"It is too late , I should go to bed .",1
I was told that in February this year a Taiwanese student was hit by a taxi driver here .,1
I love airplanes and beaches but Princess Juliana airport is very far from Japan .,1
"After a while , her eyes did not get better , so I decided to go to another doctor .",1
like it is very well - loved character TO AMONG both just fans of the book and Gene Wilder is performance,0
She has been distant with her husband since that incident .,1
"Anyway , the given sentence is ",1
"So , I surmised from it .",0
"ML is well suited to any place , such as desk , by monitor , by TV , book shelves .",0
The teacher from whom I learned English was named Jordan .,1
I turned around and told her I really hope I can go help in the shelter during my holidays in Japan .,1
"Any way , I have a school s welcome party at pub after class where is near by school .",0
Post boxes have initials of the king at the reign in England .,0
I ca not hear what you are saying at all !,0
And the prize comes from the sponsors who advertise on the website .,1
I would like to brush up my English .,0
I did not think it was her fault .,1
"I can enjoy watching movie , listening songs , reading texts including news papers or articles around the world , and simply tapping and scrolling the screen .",0
"For example , by googling , I found Inequality in Britain is of developing world levels , but an equally good , if not better , way to say it is Inequality in Britain is at developing world levels .",0
"Since English , my major , has spread nearly all over the world , we divided ourselves into groups .",1
"John the Orphanotrophus , my brother , has told me that Maniakes is involved in a plot against me .",1
"On the other hands , I thought about the payment of the live .",1
What appears first in your mind when you hear the word advertising ?,1
Almost of the farm say on their HP that strawberry does not grow up enough to eat so far .,0
"Because of my not being on time , I had to sit in the front row , in a class room with a very high blackboard and a tall teacher .",1
My height is meter centimeters .,0
In English .,1
We shall never allow ourselves to drift away,1
for replacing the plastic .,1
I am writing this blog from iPhone today .,0
"I always ask the opinion of my friends , because the darest mission autors have is to make the readers get ecxatly what you are trying to say .",0
The land is barren and the plants wither away .,1
Would you try it ? ? ?,1
Is bike used for the same meaning as bicycle ?,0
My trip in Okinawa .,0
"People who usually use English , do everyone input the full spelling of a word ?",1
I felt today is less cold than yesterday .,1
"First of all , he is not handsome .",1
Correct me,1
Wahaha That is not important .,0
"The little girl sweated a lot , she cried a lot , and the most important thing , she thought that the irregular verbs in english were pretty hard to remember .",1
It sounds normal .,1
"So , let me end with one of my favorite quotes from Martin Luther King .",1
I worry about the effects of radioactivity .,1
"By doing so , I came to love studying English because I found it interesting to understand the meaning of foreign songs .",1
I had it for a long time ago .,1
I do nt know why I was like that .,1
To be continued,1
He kept watching people is reactions to the rock which was placed in a very awkward spot .,0
I entered the skype,0
See you later .,1
please leave me .,1
"Maybe , she were surprise .",0
That is why he can always face my irrationality with patience .,1
"My university life is very boring , ",1
"At first , I was nervous a little bit .",1
"My hobby is table tennis , playing every Saturday .",1
The wedding planner made a mistake - they both had their wedding on the same date .,1
It s good enough .,1
"Or , is it helpful to study Chinese simultaneously with studying English ?",1
I thought that the quality was a little low .,1
This fish is fresh .,1
I am glad to join this site .,1
Thank you for reading my diary .,1
Someone who I have ever seen is not very close to me .,1
I became nervous .,1
The British Invasion flooded the US and put an end to the Brothers ' success .,1
they need me to do some thing for them .,1
"Still , till I was asleep , I could not figure out what was causing me to have the fever .",1
All my friends at Lang -,0
I love illustrations !,1
I am glad to check your Japanese .,1
Love is imperative form of verb love .,0
"Therefore , I would love to improve my hearing skill more and more .",1
"As for me , I did not have one at home until I bought one myself a few years after I started working .",1
I am going to take the TOEIC test on st December .,1
"with many a woe , ",0
"It is been very cool for last few days , though it was rather hot until only a while ago .",0
This way of learning is completely different from that at school .,1
They have huge numbers of picture books that were published all over the world .,1
"Therefore , I had no ideas which words could be fit for me .",1
"To our surprise , however , four pizzas were served !",1
Some of them were very familiar to me because I had already studied them for the tests in my middle and high schools .,1
I have taken a big mistake .,1
God help me ! !,1
"Unfortunately , I could not find my bicycle .",1
we worried abit for our teacher because she has never been late .,0
"Secondly , we can spend more time with our family .",1
I want to a movie .,0
One woman followed an objection .,1
It predicted good fortune for me .,1
Thank you so much for your time and help .,1
It was very hot day and there was much of thunderhead in the blue sky .,0
"In the snow , it is so cold though it is beautiful .",1
What is the fascination ?,1
"Even after soaking in the sea , the sunbeam promptly evaporated our soggy wears .",1
"Electricity to most of the affected homes has been restored , officials at the Korea Electric Power Corporation said .",1
Sometimes it can make out many misunderstanding .,0
Alice is Adventures in Wonderland,0
"Is not that cool , mom ?",1
I watched Lang - about half a day .,0
I will start reading twilight new moon soon .,0
he goes to store,0
"Recently , I cook myself",0
I found how tricky it could be talking to person through microphone in English .,0
I am wondering if is this sentence OK for native English speaker .,0
This is firs time to write this diary .,0
"Just now , I wanted to buy some bread for tomorrow is breakfast , however , the shop had closed when I got there !",1
"In fact , I think this cooking smells bad , but I like this cooking .",1
but we were not in the same classes .,1
I want to take a trip to Australia to have a working holiday .,1
Ideal Home,0
I have a plan to go to London ! !,1
"So I bet with my co - worker that if I get over score in TOEIC he will buy me an extra digital TV , inch .",0
I have lots of homework .,1
"Let us go , because it is a curious .",0
Please teach me real English expression .,0
"So always keeping an optimistic mind , whenever ones dropped a blank hole .",0
My Troubles,0
"However , they were servants all the same as they hardly kept their own single life to have a date with the sorority , she said , and she wanted the same one who would devote herself to her .",1
There was a law exam .,1
Parents and professor gave me some good advice .,0
However I have longed for American life due to American home,0
I was puzzled about choosing limited sound .,0
But he is going to be deployed to one of the government offices because he had a car crash several years ago and doctors implanted some metal parts in his left leg .,1
Because I started to study English just nowaday .,0
My personal teacher and I have added this word to my essay Report .,1
"The Tokyo accent is the standard of Japan , but the Osaka accent has a strong characteristic and it s like a representative of dialects .",1
"Hi , everybody .",1
My old friends are really wonderful .,1
Today I took a souvenir from my hometown to the office .,1
I have one thing I want to do today .,1
I like music,0
And you ?,1
"I was down today , though the thrilling and romance movie lifted me up .",1
I had a dream . A woman is body was upon me in a class .,0
"These girls have different nationalities , such as Chinese , American and Korean .",1
They were lighthearted but a little pushy to Japanese people .,1
I went to Australia in,1
Nice to meet you !,1
They had so much fun being together they stop working hard .,0
"Therefore , I will announce LANG - .",0
So I got sunburned every summer .,1
"As a matter of fact , I learned about the ShorinjiKempo in my elementary school days .",0
I met a lot of frieds which had quitted my company few years ago .,0
Do you like Japanese comics ?,1
A strength of Softbank used to be only iphone .,0
"Please , help me , thanks a lot ",0
Today Tohoku and Kanto area are stopped by train . It will continue one day .,0
And I like the song Rock what you got by Superchick .,1
Reading the newspaper without fail .,1
Concert means a big band plays in a big stadium and hall .,1
"Secondly , it takes time for me to do parking every day because I just started driving two weeks ago and I have not got familiar with the driving skills .",1
He is four years old .,1
Long time no see .,0
"Last Friday , we went to them to arrange for the way to evaluate their inventories .",1
"These days , the price of oil still getting higher and higher .",0
A romantic thing is the same as that .,1
Her facial expression was very cute and I was very impressed by her .,1
This photo is Reira .,0
"there are a bookcase , TV , and a long sofa in the room .",1
And hit,0
to pass pre - st grade,0
in spite of English class,0
"To his surprised , he found out a real story about the photo in that .",0
"First , thanks for your messages to my diary .",0
Self introduction,0
Nice to meet you .,1
One day he talked about how he was punished by a schoolteacher for sleeping during the class .,1
Quit smoking Day Additional charges and costs for quitting smoking,1
I am really worried about this problem .,1
Do you know Sapporo ?,0
Afterwards I went to see my uncle .,1
Do not worry .,1
"However When Winter Sonata was broadcast in Japan , many of many of whom presumably cherished negative sentiments toward Korean changed their mind and perception toward Korean .",1
The Sorcerers Apprentice,1
"But with the pace of China s global , its weather seemed to have kept pace with the trend of global climate warming .",1
Try it !,1
I stayed up until five in the morning browsing some homepages .,0
I was so tired from waiting for him .,1
will release its smallest vehicle yet on Nov .,1
He said the importance of being ernest and thinking ernest .,1
Here is the video,1
That is it for today .,1
Why did you choose that major ?,1
afterwards will brew along with tea,0
All offers are exclusive services to customers of Sun and Fun tours .,0
"I also want to learn French and German , too .",1
"has been bolstering the enforcement of it , especially a cartel and various companies including a Japanese company were fined a huge amount of money . I intend to study",1
Please check .,0
A blog written by one of my favourite artists was burning .,1
Charity match and KING,0
"Last night , a typhoon attacked Tokyo , just at the time we were leaving work .",1
Hiring the staff of professionals who would decide about correctness of web ' contents could throw into crisis a responsible one .,0
It is interesting that it had a forcible way to end .,0
Write a diary in English .,1
I could not answer it at all .,1
So I will rest .,1
car repair,1
I began to clasp my fist for seconds because it was really hurting .,1
"As we moved to USA , a tough time was waiting ahead .",0
"His wife is young , hardworking and kind .",1
I am going back to Japan next month .,1
The situation is getting worse for young people to improve their skills to a higher level in addition to the subcontracting to various Asian countries .,1
I was very glad that they had a good time with Japanese culture .,1
"Actually , I had decided to go to SriLanka in Nov .",1
"Magic and religion , do they really mix ?",1
People can get what you are trying to say .,1
NEWS is a Japanese idol group .,1
Business essentials,1
That always seems just out of reach .,1
But now I just want to tell you my impressions .,1
i want to say to take care of driving to him .,1
he is not good,0
I would like to share this with all of you !,1
I wonder what it would be like to see a star up close .,1
"As you know , lots of Spanish words end with one of the five vowels , which makes it easier for us to match rhyming words .",1
But I was not there .,1
"Today , basic seminar class is canceled .",0
"Oh , it is time to go .",1
The boss told me that their company has many customers from different countries and English is a necessary language .,1
"Although I have studied data structure , algorithms and neural networks , I am still eager to learn lots of other fields in computer science , such as bioinformatics , operation systems and security .",1
This is no exception with the company I work for .,1
I ca nt stay calm when I come into a bag shop,1
"Lol , Amelie , days of summer .",1
Which is better ?,1
The entertainment of the year was given by a famous hypnotist .,1
"The former one is located in the east part , where Tokyo station is , the other one is in the west part .",1
"Somehow I d set the volume to the lowest , so I did nt hear you well .",1
Let me share it if you like .,1
And we have to bring an umbrella with us all the days .,1
Also my feeling is getting worse .,1
"When I was in middle school , I was given this sentence to translate into Japanese , as one of an English exam is problems ",0
It means may .,1
And I like mineral stones .,1
"Although it would not be enough to rent a house , and not too many people in my country really dare to live in a rented apartment at all - the fee is too high .",1
"Lang - is nice , but .",0
The picture to the right was the account I wrote today .,1
Where are you from ?,1
proved its effectiveness against common ailments .,1
Lucky and Dollar are dogs .,0
Thank you for your corrections and comments as always .,1
"But , the biggest problem is that I m not interested in acting at all .",1
I have set a goal of hours a month to study English .,0
I study English seriously because I am going to work abroad next year .,1
"In this case , it seems more natural to say mean . ",0
He absorbed a lot of knowlege .,0
Annoying Lang - Users,1
My friend is name is Akio Reichert .,0
"When I was junior high school student , I wanted to go to high school in abroad because I wanted to be in touch with a real English that people living there are use .",0
"Finally , Austrians network operator explained what they did .",0
"His novels ' vocabulary is my limitation , and I need much time to write in English .",1
"His main areas of focus include China is macro - economy , monetary policy , the exchange rate , financial sector reform , international trade and finance and FDI policy .",1
So I think I will use S like a note PC .,0
How do you think ?,0
Hey guys !,1
I have been so busy through December because of year - end parties .,1
Why do not you like sauce ?,1
Which season of the year do you like the best ?,1
But it s a good opportunity to learn English .,1
"However , whenever I sit in front of a mic , I am multitasking .",1
So I learned to that until graduated from this school .,0
"It is very common to be raining all day , but i hoped that it wo not be",1
Do we have all those things ?,1
"I am interested in history , drawing manga - like pictures , and English ",1
And her friend asked her to sing there .,1
I exchanged the old rubber stopper for new one .,1
"Like my life , there is no way back",0
I have needed you ever since I heard your voice .,1
Because of the latest one on my camera .,1
"Surprisingly , people drove cars too fast especially on the high way .",1
The first one is to wake up earlier in the morning .,1
"But , I need a few times even now .",0
The biblo has QWERTY keyboard having luminous letters depending on its direction .,0
People around me worked as usual and so I stayed home all day long .,1
I have something to talk about change specifications,0
" Maybe they all went out for a dinner , I said to myself , and went to the studyroom alone .",1
The cons of video cameras are the privacy issues .,1
"It comes to the Sunday finally , the only free day for me to relax myself .",1
Jaime and Mr .,1
"In addition , I can learn how important to keep a promise or a rule is from friends when I play with them .",1
Are you good at math ?,1
It is like I went for a drive for miles in the desert .,1
I have never been to Germany .,1
except Japanese historical drama .,1
"These college students have since graduated , and carried their university tradition into society .",1
This is my favorite video of them .,1
Because I took some classes there and I am the first person did that in my class .,1
The weather in Guam was so nice .,1
It is his first work travel in USA .,0
Something the president called unexceptablly high .,0
understanding these and not concentrating on my technical knowledge .,1
Hello guys !,1
I went to a party .,1
This Evening .,1
The weather is much better than yesterday .,1
My rating,0
I think that I keep writing a diary for study .,0
And I found myself leaving my house with BIG ANGER .,1
"Before writing this journal entry , I googled that .",1
"I will love you all the time , forever .",1
I feel like buying it as soon as possible .,1
I went to a beauty shop this weekend .,1
the first diary,1
I really enjoy learning foreign languages .,1
"When I met my friends , I was thinking that our relationship would not be go long .",0
"After something happy suddenly happens , people are suprised then become smile .",0
wha a pity .,0
He was very kind and always talked to me with a face full of smile .,1
"First , you can use the Internet to see many different places around the world from your house .",1
"One of two wild dogs , who was older , said loudly that there was only one who could be the king , that was the lion , because he was so brave in the war and none of the natives could be his opponent .",1
"So far , it is quite fun working here but it is tough to get used to working at night .",1
"It was like in the height of summer , ",1
Evangelion New Theatrical Edition is an animation series which is played in theaters .,1
"As you know , Easter is a Christan and Jew holiday .",1
Is this my groundless suspicion ?,0
Good night .,0
What do you expect from this course ?,1
i want to nobody but you,0
"But that was not that heavy , so I thought I can be help her even if I ca not use both hands .",0
Real business mail that I sent .,0
Would not he ?,1
"He said I think that the more freely information flows , the stronger the society becomes , because then citizens of countries around the world can hold their own governments accountable . ",1
It is wrong to say ' ice cream drink ' is not it ? X,0
"Each time our teacher said it s very ordinary for all of you who is majoring in English to talk with the foreigner fluently , I want to hide in the hole .",1
Today is very normal day to me .,0
I had flea market confused with free market .,0
"Oh , I should be going now if I do not want to be late for the listening class .",1
It was heavy one !,0
We hope to know the truth and give our hands to the people who need help .,1
My mother often picked me up out of it and took me to the bed until I was around seven years old .,1
They are very happy to collect what they love .,1
Week Test,0
"After I heard this description , I refused to do this surgery .",1
I met an experienced sales rep recently .,1
I saw very very beautiful sky in Irvine .,0
And of course I winked at every guy that smiled at me .,1
Life is good .,1
And sometimes I change them into Amazon is tickets for me or a coffee gift for my parents .,0
I spoke with her in English .,1
I have never even written diary in my language .,0
What are light novels ?,1
What appears firstly in your mind when you hear the word advertising ?,1
what is wrong with me ?,1
"B Ok , goodbye .",1
"Because he has to do military service , I gave my gift and wishes to him today .",0
My little brother and father had already performed military service in the land forces .,1
So I scanned the sketches into my computer and used the softwares freehand and photoshop to do the designing .,1
Do not compare yourself to others .,1
It made me very depressed .,1
"So people have to study English even though they do not speak a tip of English throughout their lives and spend a lot of money and time to meet the government is goal , not their goal .",0
. Do you know what today is ?,1
But actually I face some difficulties .,1
Even the coffee - maker now has a Powered by Kaspersky sign on it .,1
Outdoors school,0
"Of course she is dear girl , and maybe I am in love with her just a little bit . ",1
"Everybody living in a foreign country has different reasons studying English , working , loving travelling over the world .",1
Anyway my son got diarrhea a few days ago and now he has a high fever .,1
I want to write a diary every day in Lang - .,1
"I have seasons , and , but I watch them little by little .",0
"Seeing the back experience note , I was interested in that they could have fulfilling life even though it was short and I can get a scholarship .",1
"Yesterday , I tried on kimonos .",1
My jop !,0
" - after I got up , I wasted some time using the lap top etc .",1
The next problem,1
"You can see and learn many things there , for example Japanese major character , how to make anime , the historical valuables related with anime .",1
It was good .,1
Our shopping course is always almost the same .,1
"While he is in two minds , the mother decides to leave him to her old father , who renounced her due to the crime .",1
"Fyi , my blood type is O so do not give me other blood type is blood I will die .",0
Thank you in advance .,1
I do not want to throw it on the street because my town gets dirty .,1
I am so sorry that i could not talk with you that day .,1
"Wow , I just posted a new diary entry and it felt so right doing it ",1
I believe all Japanese people ca nt live without it .,1
"Today was a holiday , so I slept until later in the morning .",1
I guess it will take about week .,0
"When she left the table to prepare for some snack , Jubay happened to observe how ' they ' were .",1
"Today , No , , yesterday , I had drunk deeply after a long interval because of my colleagues ' invitation .",1
What am I going to do from now on ?,1
Did you try out this new computer ?,1
My husband is grandfather died of old age last week .,0
I have to write this done because I do not want to let it just pales away from my brain .,0
I reflected on my saying .,1
Do you have any questions about me ?,1
"Or , Linux ?",1
"If I have a chance , I d like to try YOSAKOI .",1
"In fact , I do not like tuna so much .",1
It was like a jewelry .,0
I guess .,1
need to see double doctors,0
The thing I want to say is I think I should stop hiding my feelings .,1
I am looking forward to visiting .,1
"After school , I worked on the school festival .",1
But I do not like those topics to talk about .,1
Spring reminds me of many things .,1
Tepco was one of the blue - chip companies in Japan .,1
But I want to make my blog very interesting even if my mother tongue is not English .,1
I have a brother and mother .,1
And I felt quite shocked because for is such a basic word .,1
The riches of the royal family are now for the people !,1
I did not care about what kind of houses I lived in .,1
Moreover cause of a thing that you do nt want to change it !,0
" Speaking of the good part , peer pressure can make some students more active and energetic .",1
winter season from the early of September to,0
I want to study English .,1
I was studying the exam of the DateBase when Japanese season became to Plaum rain .,0
"It is rain , too .",0
I am tired .,1
"If you are interested in Japan or me , please contact me !",1
Do you like new things ?,1
Some Taiwanese told us they wanted to come to Japan to see Japanese people enjoying it .,1
Please teach me about Easter Sunday in America .,1
"Suddenly , I thought about why the day has hours .",1
can I use them ?,1
The electricity may not be enough in Japan this summer because of the earthquake in March .,1
I plan how much money to spend each month .,0
"I heard it is not a rare case for business people in Japan , but I think it is crazy .",1
When I have such a feeling .,1
"You are allowed to reach something within your scope , and you had better act like that .",1
"In particular , I like white bread made from a baguette .",1
Hello I need your help .,0
The person answered him I will come at once .,0
I have been reading the book ' Social Atom ',1
Now I am in grade at Ladprakhowphithayakom school . I am studying hard because I have to compete in Admission recently .,1
It was crowded with many workers .,1
Now the middil exams are coming .,1
